"id","filename","ident","name","type","frequency_khz","latitude_deg","longitude_deg","elevation_ft","iso_country","dme_frequency_khz","dme_channel","dme_latitude_deg","dme_longitude_deg","dme_elevation_ft","slaved_variation_deg","magnetic_variation_deg","usageType","power","associated_airport",
148,"Alexander_Bay_NDB_ZA","AB","Alexander Bay","NDB",318,-28.6189,16.48,,"ZA",,,,,,,-19.212,"BOTH","MEDIUM","FAAB"
144,"Atbasar_NDB_KZ","AB","Atbasar","NDB",420,51.8833,68.4,,"KZ",,,,,,,10.155,"BOTH","MEDIUM",
152,"Leehi_NDB_US","AB","Leehi","NDB",400,40.5858,-75.5496,,"US",,,,,,,-12.112,"TERMINAL","LOW","KABE"
145,"Podkamennaya_Tunguska_NDB_RU","AB","Podkamennaya Tunguska","NDB",342,61.5917,89.9417,,"RU",,,,,,,9.088,"TERMINAL","HIGH",
149,"Putny_NDB_US","AB","Putny","NDB",227,31.4561,-84.2762,,"US",,,,,,,-3.456,"TERMINAL","LOW","KABY"
151,"Reney_NDB_US","AB","Reney","NDB",203,45.386,-98.3284,,"US",,,,,,,5.298,"TERMINAL","LOW","KABR"
150,"Tomhi_NDB_US","AB","Tomhi","NDB",353,32.2989,-99.6742,1950,"US",,,,,,,6.183,"TERMINAL","LOW","KABI"
154,"Albany_NDB-DME_AU","ABA","Albany","NDB-DME",240,-34.9522,117.811,243,"AU",109700,"034X",,,,,-2.034,"BOTH","MEDIUM","YABA"
153,"Aruba_VOR-DME_AW","ABA","Aruba","VOR-DME",112500,12.5098,-69.9407,59,"AW",112500,"072X",,,,-4.001,-9.37,"BOTH","HIGH","TNCA"
156,"Abbeville_VOR-DME_FR","ABB","Abbeville","VOR-DME",108450,50.1351,1.85469,223,"FR",108450,"021Y",,,,-3.007,-1.232,"BOTH","HIGH","LFOI"
155,"Nabb_VORTAC_US","ABB","Nabb","VORTAC",112400,38.5888,-85.636,710,"US",112400,"071X",,,,1.001,-4.045,"LO","MEDIUM",
157,"Abuja_VOR-DME_NG","ABC","Abuja","VOR-DME",116300,9.0378,7.2851,1240,"NG",116300,"110X",,,,,-2.022,"BOTH","MEDIUM","DNAA"
158,"Abadan_VOR-DME_IR","ABD","Abadan","VOR-DME",114500,30.387,48.2176,10,"IR",114500,"092X",,,,3.001,3.069,"BOTH","HIGH","OIAA"
159,"Abyad_NDB_SY","ABD","Abyad","NDB",264,33.3353,36.4282,,"SY",,,,,,,3.53,"BOTH","HIGH","OSDI"
160,"Ambassador_NDB_US","ABG","Ambassador","NDB",404,32.5854,-95.113,420,"US",,,,,,,3.377,"TERMINAL","LOW","1TX9"
161,"Abha_VORTAC_SA","ABH","Abha","VORTAC",112900,18.2419,42.6569,6862,"SA",112900,"076X",,,,1.007,2.111,"BOTH","HIGH","OEAB"
162,"Abilene_VORTAC_US","ABI","Abilene","VORTAC",113700,32.4813,-99.8635,1810,"US",113700,"084X",,,,10.012,6.246,"BOTH","HIGH","KDYS"
163,"Djibouti/Ambouli_TACAN_DJ","ABI","Djibouti/Ambouli","TACAN",114600,11.5495,43.1546,49,"DJ",114600,"093X",,,,,1.265,"BOTH","HIGH","HDAM"
164,"Abakan_VOR-DME_RU","ABK","Abakan","VOR-DME",113300,53.745,91.385,830,"RU",113300,"080X",,,,4.007,4.192,"BOTH","HIGH","UNAA"
165,"Ambalema_NDB_CO","ABL","Ambalema","NDB",300,4.78389,-74.7675,,"CO",,,,,,,-5.11,"BOTH","MEDIUM",
166,"Abumusa_Island_NDB_IR","ABM","Abumusa Island","NDB",285,25.8778,55.0229,23,"IR",,,,,,,1.384,"BOTH","LOW","OIBA"
167,"Albenga_NDB_IT","ABN","Albenga","NDB",420,44.0558,8.22111,,"IT",,,,,,,0.515,"BOTH","LOW","LIMG"
168,"Albuquerque_VORTAC_US","ABQ","Albuquerque","VORTAC",113200,35.0438,-106.816,5743,"US",113200,"079X",,,,13.001,9.551,"BOTH","HIGH",
169,"Aberdeen_VOR-DME_US","ABR","Aberdeen","VOR-DME",113000,45.4174,-98.3687,1301,"US",113000,"077X",,,,7.001,5.316,"BOTH","HIGH",
170,"Albacete_NDB_ES","ABT","Albacete","NDB",321,38.9441,-1.99767,,"ES",,,,,,,-1.399,"LO","MEDIUM","LEAB"
171,"Abu_Argub_VOR-DME_LY","ABU","Abu Argub","VOR-DME",115100,32.4628,13.1694,470,"LY",115100,"098X",,,,,1.291,"BOTH","HIGH","HLLT"
